NUMERO_ISCRIZIONE_D;RAGIONE_SOCIALE;COGNOME_NOME_RESPONSABILE
D000273257;BANCA IFIS SPA;GALBIATI ANDREA
D000027117;BANCA INVESTIS SPA;CITELLI PAOLO
D000666912;BANCA ITALIANA PER L'AMBIENTE E PER L'ENERGIA;CARDARELLI ANDREA
D000076548;BANCA LAZIO NORD CREDITO COOPERATIVO SOCIETA' COOPERATIVA PER AZIONI;ROMALDINI MARCO
D000156028;BANCA MACERATA SPA;LOCCI FRANCESCO
D000186427;BANCA MALATESTIANA - CREDITO COOPERATIVO - SOCIETA' COOPERATIVA;MAGNANI LUCA
D000027132;BANCA MEDIOLANUM SPA;FONTANA RAVA EDOARDO
D000062974;BANCA MONTE DEI PASCHI DI SIENA SPA;BIANCHINI DIMITRI
D000062974;BANCA MONTE DEI PASCHI DI SIENA SPA;TIEZZI MARCO
D000050734;BANCA MONTE PRUNO CREDITO COOPERATIVO DI FISCIANO, ROSCIGNO E DI LAURINO - SOCIETA' COOPERATIVA;GIORDANO ELISABETTA
D000115058;BANCA MONTEPAONE - CREDITO COOPERATIVO - SOCIETA' COOPERATIVA;DODARO ANTONIO
D000201446;BANCA NAZIONALE DEL LAVORO SPA;FOSCHI OLAF
D000201446;BANCA NAZIONALE DEL LAVORO SPA;MANFRONE  STEFANO
D000201446;BANCA NAZIONALE DEL LAVORO SPA;MANZARI MICHELE
D000201446;BANCA NAZIONALE DEL LAVORO SPA;TINI LORENZO
D000027127;BANCA PATRIMONI  SELLA & C. S.P.A.;DE MARCO VINCENZO
D000027104;BANCA PER IL TRENTINO ALTO ADIGE - BANK FUR TRENTINO - SUDTIROL CRED.COOP.;ZATELLI MICHELE
D000576641;BANCA PIÙ SPA;CASTAGNI MATTEO
D000027000;BANCA POPOLARE DEL CASSINATE;MARANDOLA CARLOMARIA
D000132173;BANCA POPOLARE DEL FRUSINATE SOCIETA' COOPERATIVA PER AZIONI;D'AQUINO VITTORIO
D000051771;BANCA POPOLARE DEL LAZIO;GIALLATINI FABRIZIO
D000026962;BANCA POPOLARE DELL'ALTO ADIGE SOCIETA' PER AZIONI;Mair am Tinkhof Georg
D000026962;BANCA POPOLARE DELL'ALTO ADIGE SOCIETA' PER AZIONI;WIESER HANNES
D000197591;BANCA POPOLARE DELLE PROVINCIE MOLISANE;MOSIELLO LUIGI
D000026991;BANCA POPOLARE DI CORTONA SOC. COOP. P. AZIONI;CANGELONI RAFFAELE
D000026925;BANCA POPOLARE DI FONDI SOCIETA' COOPERATIVA;MALTEMPO ENRICO
D000027147;BANCA POPOLARE DI LAJATICO SCPA;CHELLINI CATIUSCIA
D000026939;BANCA POPOLARE DI PUGLIA E BASILICATA S.C.P.A.;MARVULLI VINCENZO
D000027203;BANCA POPOLARE ETICA;DOSI ALESSANDRO
D000056431;BANCA POPOLARE PUGLIESE;ARIGLIANO LUIGI
D000066202;BANCA PREALPI SANBIAGIO CREDITO COOPERATIVO - SOCIETA' COOPERATIVA PER AZIONI;OLIVA FRANCESCO
D000027183;BANCA PROFILO SPA;IZZO ROBERTO
D000092381;BANCA PROGETTO S.P.A.;FIORENTINO PAOLO
D000713957;BANCA REALE S.P.A.;PAONE MAURIZIO
D000057883;BANCA SAN FRANCESCO CREDITO COOPERATIVO CANICATTI';ALAIMO ALFONSO
D000027126;BANCA SELLA SPA;PLINI FRANCESCO
D000455616;BANCA SISTEMA SPA;FIORIO NICOLO' CARLO
D000455616;BANCA SISTEMA SPA;TRUPIA  ANDREA
D000737574;BANCA STABIESE SPA;DI RISO GENNARO
D000737574;BANCA STABIESE SPA;SANTORO FRANCESCO SAVERIO
D000027004;BANCA TERRITORI DEL MONVISO - CREDITO COOPERATIVO DI CASALGRASSO E SANT'ALBANO STURA S.C.;PANSA RICCARDO
D000027065;BANCA VALSABBINA S.C.P.A.;RICCHINI FEDERICO
D000071143;BANCA VERONESE CREDITO COOPERATIVO DI CONCAMARISE S.C.A.R.L.;BUOSO MIRKO
D000027013;BANCA VERSILIA LUNIGIANA GARFAGNANA- CREDITO COOPERTIVO SOCIETA' COOPERATIVA;MATTEONI PAOLO
D000495877;BANCA WIDIBA SPA;MARAZIA MARCO
D000563706;BANCO BPM SOCIETÀ PER AZIONI;DE ANGELIS DOMENICO
D000027031;BANCO DI CREDITO P. AZZOAGLIO S.P.A.;BELERIO SANDRO
D000190058;BANCO DI DESIO E DELLA BRIANZA SOCIETÃ€ PER AZIONI;GRANIERI ROSALBA
D000027162;BANCO DI LUCCA E DEL TIRRENO;PACIFICI ANDREA
D000026958;BANCO DI SARDEGNA S.P.A.;SPOTTI SARA
D000026958;BANCO DI SARDEGNA S.P.A.;ZANNINI LORENZO
D000553213;BANCO FIORENTINO - MUGELLO IMPRUNETA SIGNA - CREDITO COOPERATIVO - SOCIETA' COOPERATIVA;BRESCI GIANLUCA
D000553213;BANCO FIORENTINO - MUGELLO IMPRUNETA SIGNA - CREDITO COOPERATIVO - SOCIETA' COOPERATIVA;SOZZI CLAUDIO
D000055335;BANCO MARCHIGIANO CREDITO COOPERATIVO;DI BARI MASSIMO
D000193132;BCC BASILICATA - CREDITO COOPERATIVO DI LAURENZANA E COMUNI LUCANI - SOCIETA' COOPERATIVA;BONOMO FAZIO
D000054090;BCC CALABRIA NORD - CREDITO COOPERATIVO;CIRELLI SALVATORE
D000027179;BCC CARATE BRIANZA;TRADATI PAOLO
D000027128;BCC CASTIGLIONE MESSER RAIMONDO E PIANELLA SOC. COOP. A RESP. LIMITATA;DI GIORGIO BRUNO
D000364581;BCC CREDITO CONSUMO SPA;PASSONE AGNESE MARIA
