OSS;NUMERO_ISCRIZIONE_RUI_PF;NUMERO_ISCRIZIONE_RUI_PG;QUALIFICA_INTERMEDIARIO;RESPONSABILE
313;A000010683;A000122672;Responsabile dell'attività di intermediazione;
314;A000081730;A000097082;Responsabile dell'attività di intermediazione;
315;A000069469;A000747350;Responsabile dell'attività di intermediazione;
316;A000011090;A000455553;Responsabile dell'attività di intermediazione;
317;A000147671;A000315997;Responsabile dell'attività di intermediazione;
318;A000011068;A000317650;Responsabile dell'attività di intermediazione;
319;A000086762;A000086764;Responsabile dell'attività di intermediazione;
320;A000164080;A000651246;Responsabile dell'attività di intermediazione;
321;A000066822;A000111074;Responsabile dell'attività di intermediazione;
322;B000128163;B000606500;Responsabile dell'attività di intermediazione;
323;A000192469;A000672372;Responsabile dell'attività di intermediazione;
324;A000100287;A000185422;Responsabile dell'attività di intermediazione;
325;A000100294;A000273438;Responsabile dell'attività di intermediazione;
326;A000181775;A000482510;Responsabile dell'attività di intermediazione;
327;A000001506;A000466262;Responsabile dell'attività di intermediazione;
328;A000001506;A000781603;Responsabile dell'attività di intermediazione;
329;A000141659;A000231633;Responsabile dell'attività di intermediazione;
330;A000185491;A000400379;Responsabile dell'attività di intermediazione;
331;A000181832;A000124532;Responsabile dell'attività di intermediazione;
332;A000037107;A000452697;Responsabile dell'attività di intermediazione;
333;A000185556;A000580537;Responsabile dell'attività di intermediazione;
334;A000128099;A000403786;Responsabile dell'attività di intermediazione;
335;A000116380;A000616937;Responsabile dell'attività di intermediazione;
336;A000156661;A000137994;Responsabile dell'attività di intermediazione;
337;A000164480;A000135281;Responsabile dell'attività di intermediazione;
338;A000190265;A000391441;Responsabile dell'attività di intermediazione;
339;B000822772;B000825765;Responsabile dell'attività di intermediazione;
340;A000185581;A000168882;Responsabile dell'attività di intermediazione;
341;A000127587;A000499972;Responsabile dell'attività di intermediazione;
342;A000100255;A000108574;Responsabile dell'attività di intermediazione;
343;A000186462;A000088912;Responsabile dell'attività di intermediazione;
344;A000011489;A000012779;Responsabile dell'attività di intermediazione;
345;A000085590;A000085589;Responsabile dell'attività di intermediazione;
346;A000127884;A000127895;Responsabile dell'attività di intermediazione;
347;A000192296;A000442050;Responsabile dell'attività di intermediazione;
348;A000067695;A000705246;Responsabile dell'attività di intermediazione;
349;A000086119;A000064790;Responsabile dell'attività di intermediazione;
350;A000186998;A000141957;Responsabile dell'attività di intermediazione;
351;A000057561;A000113756;Responsabile dell'attività di intermediazione;
352;A000050839;A000282662;Responsabile dell'attività di intermediazione;
353;A000130048;A000781032;Responsabile dell'attività di intermediazione;
354;A000173569;A000241548;Responsabile dell'attività di intermediazione;
355;A000071685;A000267077;Responsabile dell'attività di intermediazione;
356;A000165440;A000508402;Responsabile dell'attività di intermediazione;
357;A000008103;A000057355;Responsabile dell'attività di intermediazione;
358;A000001342;A000651339;Responsabile dell'attività di intermediazione;
359;A000006135;A000707591;Responsabile dell'attività di intermediazione;
360;A000145870;A000593026;Responsabile dell'attività di intermediazione;
361;A000165730;A000314723;Responsabile dell'attività di intermediazione;
362;A000007505;A000354403;Responsabile dell'attività di intermediazione;
363;A000002635;A000682731;Responsabile dell'attività di intermediazione;
364;A000010561;A000511524;Responsabile dell'attività di intermediazione;
365;A000298448;A000109724;Responsabile dell'attività di intermediazione;
366;A000075644;A000267006;Responsabile dell'attività di intermediazione;
367;B000113975;B000190757;Responsabile dell'attività di intermediazione;
368;A000182393;A000447394;Responsabile dell'attività di intermediazione;
369;B000028824;B000557579;Rappresentante Legale;
370;A000181925;A000256653;Responsabile dell'attività di intermediazione;
371;A000060351;A000060298;Responsabile dell'attività di intermediazione;
372;A000169628;A000252835;Responsabile dell'attività di intermediazione;
373;A000100954;A000100854;Responsabile dell'attività di intermediazione;
374;A000137128;A000711764;Responsabile dell'attività di intermediazione;
375;A000172141;A000323243;Responsabile dell'attività di intermediazione;
376;A000096693;A000097454;Responsabile dell'attività di intermediazione;
377;A000061420;A000103921;Responsabile dell'attività di intermediazione;
378;A000126622;A000127111;Responsabile dell'attività di intermediazione;
379;B000073747;B000116331;Responsabile dell'attività di intermediazione;
380;A000055487;A000109174;Responsabile dell'attività di intermediazione;
381;A000180085;A000273195;Responsabile dell'attività di intermediazione;
